plotName,treatmentName,mean ndvi,max crop height m nir-based
G8,N/A,0.7872094511985779,2.0496454662221595
G6,N/A,0.8390607833862305,0.9855032938617683
G9,N/A,0.8414210081100464,0.9886637249353498
G5,N/A,0.844352662563324,
G13,N/A,0.84420245885849,
G8,N/A,0.7872094511985779,2.0496454662221595
G13,N/A,0.84420245885849,
G15,N/A,0.8286562561988831,1.009122607227539
G16,N/A,0.7665879130363464,0.9319826083797693
G6,N/A,0.8390607833862305,0.9855032938617683
G1,N/A,0.7389230132102966,
G15,N/A,0.8286562561988831,1.009122607227539
G18,N/A,0.7470133304595947,0.9856481359863665
G14,N/A,0.8547928929328918,0.8910718427738402
G9,N/A,0.8414210081100464,0.9886637249353498
G17,N/A,0.8290091753005981,1.9290267257978826
G1,N/A,0.7389230132102966,
G11,N/A,0.8556041121482849,0
G15,N/A,0.8286562561988831,1.009122607227539
G14,N/A,0.8547928929328918,0.8910718427738402
G17,N/A,0.8290091753005981,1.9290267257978826
G8,N/A,0.7872094511985779,2.0496454662221595
G9,N/A,0.8414210081100464,0.9886637249353498
G18,N/A,0.7470133304595947,0.9856481359863665
G14,N/A,0.8547928929328918,0.8910718427738402
G13,N/A,0.84420245885849,
G11,N/A,0.8556041121482849,0
G16,N/A,0.7665879130363464,0.9319826083797693
G14,N/A,0.8547928929328918,0.8910718427738402
G7,N/A,0.8336222171783447,
G10,N/A,0.8384546041488647,
G7,N/A,0.8336222171783447,
G6,N/A,0.8390607833862305,0.9855032938617683
G9,N/A,0.8414210081100464,0.9886637249353498
G11,N/A,0.8556041121482849,0
G12,N/A,0.8239923715591431,0.993806956108017
G16,N/A,0.7665879130363464,0.9319826083797693
G2,N/A,0.8417955636978149,0.8724204179214325
G3,N/A,0.754344642162323,1.0212479851145417
G13,N/A,0.84420245885849,
G12,N/A,0.8239923715591431,0.993806956108017
G1,N/A,0.7389230132102966,
G6,N/A,0.8390607833862305,0.9855032938617683
G4,N/A,0.811638355255127,1.006546928626335
G4,N/A,0.811638355255127,1.006546928626335
G10,N/A,0.8384546041488647,
G12,N/A,0.8239923715591431,0.993806956108017
G17,N/A,0.8290091753005981,1.9290267257978826
G17,N/A,0.8290091753005981,1.9290267257978826
G1,N/A,0.7389230132102966,
G4,N/A,0.811638355255127,1.006546928626335
G10,N/A,0.8384546041488647,
G7,N/A,0.8336222171783447,
G10,N/A,0.8384546041488647,
G8,N/A,0.7872094511985779,2.0496454662221595
G3,N/A,0.754344642162323,1.0212479851145417
G2,N/A,0.8417955636978149,0.8724204179214325
G15,N/A,0.8286562561988831,1.009122607227539
G13,N/A,0.84420245885849,
G4,N/A,0.811638355255127,1.006546928626335
G18,N/A,0.7470133304595947,0.9856481359863665
G2,N/A,0.8417955636978149,0.8724204179214325
G6,N/A,0.8390607833862305,0.9855032938617683
G2,N/A,0.8417955636978149,0.8724204179214325
G7,N/A,0.8336222171783447,
G5,N/A,0.844352662563324,
G3,N/A,0.754344642162323,1.0212479851145417
G18,N/A,0.7470133304595947,0.9856481359863665
G5,N/A,0.844352662563324,
G12,N/A,0.8239923715591431,0.993806956108017
G16,N/A,0.7665879130363464,0.9319826083797693
G17,N/A,0.8290091753005981,1.9290267257978826
G5,N/A,0.844352662563324,
G11,N/A,0.8556041121482849,0
G7,N/A,0.8336222171783447,
