plotName,treatmentName,x,y
1305S,NAM-5,2.168059891,1.323873987
1216N,NAM-5,0.952407302,0.265320202
1104N,NAM-5,2.282634306,0.946017817
1216N,NAM-5,0.952407302,0.265320202
1313N,NAM-5,1.256811834,1.15056581
1305S,NAM-5,2.168059891,1.323873987
1104N,NAM-5,2.282634306,0.946017817
1104N,NAM-5,2.282634306,0.946017817
1313N,NAM-5,1.256811834,1.15056581
1305S,NAM-5,2.168059891,1.323873987
1104S,NAM-5,1.283949022,0.905781648
1305S,NAM-5,2.168059891,1.323873987
1305S,NAM-5,2.168059891,1.323873987
1104S,NAM-5,1.283949022,0.905781648
1216N,NAM-5,0.952407302,0.265320202
1104N,NAM-5,2.282634306,0.946017817
1313N,NAM-5,1.256811834,1.15056581
1216N,NAM-5,0.952407302,0.265320202
1104S,NAM-5,1.283949022,0.905781648
1313N,NAM-5,1.256811834,1.15056581
1104S,NAM-5,1.283949022,0.905781648
1104N,NAM-5,2.282634306,0.946017817
1109N,NAM-30,1.695774648,1.055795417
1301N,NAM-30,1.361008199,1.44828141
1301S,NAM-30,1.527692015,1.522303161
1109S,NAM-30,1.708756316,0.955166637
1202N,NAM-30,2.240479507,1.182132996
1109S,NAM-30,1.708756316,0.955166637
1202N,NAM-30,2.240479507,1.182132996
1109N,NAM-30,1.695774648,1.055795417
1109S,NAM-30,1.708756316,0.955166637
1109S,NAM-30,1.708756316,0.955166637
1301S,NAM-30,1.527692015,1.522303161
1202S,NAM-30,2.614761645,1.202440702
1202N,NAM-30,2.240479507,1.182132996
1202N,NAM-30,2.240479507,1.182132996
1109N,NAM-30,1.695774648,1.055795417
1109N,NAM-30,1.695774648,1.055795417
1301N,NAM-30,1.361008199,1.44828141
1202S,NAM-30,2.614761645,1.202440702
1109S,NAM-30,1.708756316,0.955166637
1301S,NAM-30,1.527692015,1.522303161
1301N,NAM-30,1.361008199,1.44828141
1301S,NAM-30,1.527692015,1.522303161
1202S,NAM-30,2.614761645,1.202440702
1301S,NAM-30,1.527692015,1.522303161
